letter,precision,recall,f1,support
A,0.9944,0.9944,0.9944,179
B,0.9524,0.9333,0.9428,150
C,0.9739,0.9933,0.9835,150
D,1.0000,0.9800,0.9899,150
E,0.9259,1.0000,0.9615,150
F,0.9862,0.9533,0.9695,150
G,0.9934,1.0000,0.9967,150
H,1.0000,1.0000,1.0000,150
I,0.9608,0.9800,0.9703,150
J,0.9934,1.0000,0.9967,150
K,1.0000,0.9867,0.9933,150
L,1.0000,1.0000,1.0000,150
M,0.9669,0.9733,0.9701,150
N,0.9797,0.9667,0.9732,150
O,0.9933,0.9933,0.9933,150
P,0.9804,1.0000,0.9901,150
Q,0.9934,1.0000,0.9967,150
R,0.9932,0.9667,0.9797,150
S,1.0000,0.9600,0.9796,150
T,0.9933,0.9933,0.9933,150
U,0.9551,0.9933,0.9739,150
V,1.0000,0.9867,0.9933,150
W,0.9934,1.0000,0.9967,150
X,0.9865,0.9733,0.9799,150
Y,0.9867,0.9867,0.9867,150
Z,1.0000,0.9800,0.9899,150
