letter,precision,recall,f1,support
A,0.7708,0.3476,0.4791,958
B,0.4631,0.5098,0.4853,763
C,0.1508,0.8987,0.2583,760
D,0.7243,0.9709,0.8296,790
E,0.8402,0.7806,0.8093,916
F,0.5592,0.4948,0.5250,764
G,1.0000,0.2385,0.3852,763
H,0.0000,0.0000,0.0000,752
I,0.9706,0.0392,0.0753,842
J,0.3323,0.9633,0.4941,763
K,0.2520,0.5413,0.3439,774
L,0.5111,0.0305,0.0576,753
M,0.6827,0.7459,0.7129,799
N,0.6667,0.0026,0.0051,780
O,0.6876,0.7354,0.7107,820
P,0.5895,0.7671,0.6667,760
Q,0.7639,0.1457,0.2447,755
R,0.3590,0.0154,0.0296,907
S,0.0000,0.0000,0.0000,778
T,0.1443,0.1970,0.1666,792
U,0.3333,0.0023,0.0046,870
V,0.9692,0.0828,0.1525,761
W,0.9722,0.0461,0.0879,760
X,0.1514,0.6762,0.2474,766
Y,0.0588,0.0012,0.0023,852
Z,0.8547,0.7684,0.8093,773
