letter,precision,recall,f1,support
A,0.9810,0.9697,0.9753,958
B,0.9826,0.8152,0.8911,763
C,0.9833,0.9316,0.9568,760
D,0.9910,0.9734,0.9821,790
E,0.8656,0.9847,0.9213,916
F,0.9463,0.9463,0.9463,764
G,0.9645,0.9974,0.9807,763
H,0.9838,0.9694,0.9766,752
I,0.9893,0.9905,0.9899,842
J,0.9804,0.9830,0.9817,763
K,0.9621,0.9509,0.9565,774
L,0.9904,0.9575,0.9737,753
M,0.8847,0.9800,0.9299,799
N,0.9545,0.8885,0.9203,780
O,0.9443,0.9927,0.9679,820
P,0.9526,0.9526,0.9526,760
Q,0.9082,0.8914,0.8997,755
R,0.9889,0.9779,0.9834,907
S,0.9575,0.9563,0.9569,778
T,0.9476,0.9596,0.9536,792
U,0.9930,0.9747,0.9838,870
V,0.9933,0.9750,0.9841,761
W,0.9841,0.9776,0.9809,760
X,0.9652,0.9765,0.9708,766
Y,0.9426,0.9836,0.9627,852
Z,0.9746,0.9935,0.9840,773
